vendor,series,model,product_category,product_subtype,description,source_pages,occurrences,modes,max_range_mm,range_opposed_mm,range_retroreflective_mm,range_diffuse_mm,range_convergent_mm,range_fixed_field_mm,range_fiber_optic_mm,range_ultrasonic_mm,supply_voltage_dc_min_v,supply_voltage_dc_max_v,supply_voltage_ac_raw,outputs,connections,housing_material,enclosure_rating,operating_temp_min_c,operating_temp_max_c,dimensions_mm,features,low_confidence
Banner,,,Accesorios (Accessories),Productos Nuevos,Fibras Opticas Plásticas de Teflon FEP Encapsuladas para condiciones extremadamente severas (químicas/lavado),5;18,4,fiber_optic,,,,,,,,,,,,,,Teflon® FEP,,-30,85,,modelos standard -30 a +85°C;versiones de alta temperatura -30 a +125°C;pares individuales de dos piezas para modos-opuestos;ensamblajes bifurcados para modo-difuso;aditamento especial para nivel de líquidos;dobleces y largos a la medida,sensing_modes;operating_temp_min_c;operating_temp_max_c;features;other_specs
Banner,,BRT-3,Accesorios (Accessories),Retroreflectores,Retroreflector de reflectividad standard usado para estimar conservativamente el rango de los sensores retroreflectivos Banner,18,1,,,,,,,,,,,,,,,,,,,,,description
Banner,DURA-BEND,,Accesorios (Accessories),Productos Nuevos,Plastic fiber optic cables bundled from 75-micron fibers for extreme flexibility and tight bend radius,4,1,fiber_optic,,,,,,,,,,,,,,,,,,,"bundle of 75-micron diameter fibers;1 mm diameter fibers bend to 90 degrees with no light-transmission loss;minimum bend radius 1 mm;2 m standard length;unfinished sensing end for cut-to-length installation;compatible with D11, D12, Q23, Q45, QM42, MINI-BEAM, MAXI-BEAM, VALU-BEAM, ECONO-BEAM and OMNI-BEAM sensors",sensing_modes;other_specs
Banner,OPTO-TOUCH,LTB,Botones ópticos de contacto (Optical touch buttons),Botones ópticos de contacto OPTO-TOUCH,"Interruptor fotoeléctrico de botón de acción alternada (encendido/apagado), encapsulado en polysulfone y polyester termoplástico",17,1,,,,,,,,,,,,,,,,,,,,acción alternada (encendido/apagado);encapsulado en polysulfone negro duradero;polyester termoplástico resistente;no requiere presión para operar,description;features
Banner,OPTO-TOUCH,OTB,Botones ópticos de contacto (Optical touch buttons),Botones ópticos de contacto OPTO-TOUCH,"Interruptor fotoeléctrico de botón de acción momentánea, montaje en orificio con rosca de 30 mm",17,1,,,,,,,,,,,,,,,,,,,,acción momentánea;montaje con rosca standard de 30 mm;no requiere presión para operar,description;features
Banner,BEAM-ARRAY,,Sensores fotoeléctricos (Photoelectric sensors),Cortinas de Luz para Medición,Rugged measuring light curtain (opposed mode) designed for challenging detection environments; pairs can connect to controllers providing discrete and analog outputs,15,1,opposed,,,,,,,,,,,,analog,,,,,,,four array lengths from 300 mm (1’) to 1.2 m (4’);6.4 mm (0.25”) beam spacing reliably detects objects as small as 11.4 mm (0.45”) in cross section;paired units connect to controllers providing discrete (switch) and analog outputs,description;sensing_modes;outputs;features;other_specs
Banner,BEAM-ARRAY,BMLV,Sensores fotoeléctricos (Photoelectric sensors),Pantallas de Luz para Detección de Partes,Retroreflective light curtain available in six lengths for larger parts and larger detection areas,15,1,retroreflective,,,,,,,,,,,,,,,,,,,,description;sensing_modes;other_specs
Banner,D11,,Sensores fotoeléctricos (Photoelectric sensors),Sensores para Detección de Marcas de Color,"Familia D11 disponible para aplicaciones de marca de color que usan fuentes de luz roja, verde, azul o blanca",13,1,,,,,,,,,,,,,,,,,,,,,description;series
Banner,D11 & D12,,Sensores fotoeléctricos (Photoelectric sensors),One-Piece Self-Contained Sensors,One-piece self-contained photoelectric sensor,9,1,,,,,,,,,,10,30,,other(150mA);other(150mA),,Plastic (D11 & D12) Glass (D12 only),IP66; NEMA 4,-20,70,70 x 11(12) x 30,,supply_voltage_dc_min_v;supply_voltage_dc_max_v;outputs
Banner,D12,,Sensores fotoeléctricos (Photoelectric sensors),Sensores para Detección de Marcas de Color,"Familia D12 disponible para aplicaciones de marca de color que usan fuentes de luz roja, verde, azul o blanca",13,1,,,,,,,,,,,,,,,,,,,,,description;series
