order_number,type_code,family,category,sensing_mode,detection_principle,range_max_mm,switching_output,supply_voltage_max_v,connection,enclosure_rating,source_page
1051781,GTE6-P4212,G6,Fotocelulas (Photoelectric sensors),diffuse,energética,300,PNP,,Conector macho M8 de 4 polos,,B-16
1051782,GTE6-N4212,G6,Fotocelulas (Photoelectric sensors),diffuse,energética,300,NPN,,Conector macho M8 de 4 polos,,B-16
1051783,GTE6-P1212,G6,Fotocelulas (Photoelectric sensors),diffuse,energética,300,PNP,,"Cable de 3 hilos, 2 m, PVC",,B-16
1051784,GTE6-N1212,G6,Fotocelulas (Photoelectric sensors),diffuse,energética,300,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-16
1053628,GTE6-P7212,G6,Fotocelulas (Photoelectric sensors),diffuse,energética,300,PNP,,"Cable con conector macho M12 de 4 polos, 300 mm, PVC",,B-16
1052442,GTB6-P4212,G6,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,250,PNP,,Conector macho M8 de 4 polos,,B-17
1052443,GTB6-N4212,G6,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,250,NPN,,Conector macho M8 de 4 polos,,B-17
1052444,GTB6-P1212,G6,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,250,PNP,,"Cable de 3 hilos, 2 m, PVC",,B-17
1052445,GTB6-N1212,G6,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,250,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-17
1057705,GTB6-P7211,G6,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,250,PNP,,"Cable con conector macho M12 de 4 polos, 300 mm",,B-17
1058769,GTB6-N6212,G6,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,250,NPN,,"Cable con conector macho M8 de 4 polos, 300 mm",,B-17
1059320,GTB6-P6211,G6,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,250,PNP,,"Cable con conector macho M8 de 4 polos, 300 mm",,B-17
1059333,GTB6-P5211,G6,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,250,PNP,,"Cable con conector macho M8 de 3 polos, 300 mm",,B-17
1051777,GL6-P4112,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,PNP,,Conector macho M8 de 4 polos,,B-18
1051778,GL6-N4112,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,NPN,,Conector macho M8 de 4 polos,,B-18
1051779,GL6-P1112,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,PNP,,"Cable de 3 hilos, 2 m, PVC",,B-18
1051780,GL6-N1112,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-18
1052634,GL6-P4511,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,PNP,,Conector macho M8 de 4 polos,,B-18
1053590,GL6-P7112,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,PNP,,"Conector macho M12 de 4 polos, 300 mm, PVC",,B-18
1056039,GL6-P7511,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,PNP,,"Conector macho M12 de 4 polos, 300 mm, PVC",,B-18
1059241,GL6-P4211,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,PNP,,Conector macho M8 de 4 polos,,B-18
1059632,GL6G-P4211,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,PNP,,Conector macho M8 de 4 polos,,B-18
1059923,GL6-N1211,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-18
1059925,GL6G-N1211,G6,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,6000,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-18
1052450,GSE6-P4112,G6,Fotocelulas (Photoelectric sensors),opposed,,15000,PNP,,Conector macho M8 de 4 polos,,B-19
1052451,GSE6-N4112,G6,Fotocelulas (Photoelectric sensors),opposed,,15000,NPN,,Conector macho M8 de 4 polos,,B-19
1052452,GSE6-P1112,G6,Fotocelulas (Photoelectric sensors),opposed,,15000,PNP,,"Cable de 3 hilos, 2 m, PVC",,B-19
1052453,GSE6-N1112,G6,Fotocelulas (Photoelectric sensors),opposed,,15000,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-19
1054831,GSE6-P7112,G6,Fotocelulas (Photoelectric sensors),opposed,,15000,PNP,,"Cable con conector macho M12 de 4 polos, 300 mm, PVC",,B-19
1054835,GSE6-N7112,G6,Fotocelulas (Photoelectric sensors),opposed,,15000,NPN,,"Cable con conector macho M12 de 4 polos, 300 mm, PVC",,B-19
1054850,GSE6-P6112,G6,Fotocelulas (Photoelectric sensors),opposed,,15000,PNP,,"Cable con conector macho M8 de 4 polos, 300 mm, PVC",,B-19
1054852,GSE6-N6112,G6,Fotocelulas (Photoelectric sensors),opposed,,15000,NPN,,"Cable con conector macho M8 de 4 polos, 300 mm, PVC",,B-19
1028082,WTB4-3P3162,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,"Cable con conector macho M8 de 3 polos, 100 mm, PVC",,B-25
1028084,WTB4-3P2162,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,Conector macho M8 de 3 polos,,B-25
1028086,WTB4-3P2264,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,Conector macho M8 de 4 polos,,B-25
1028097,WTB4-3P3161,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,"Cable con conector macho M8 de 3 polos, 100 mm, PVC",,B-25
1028098,WTB4-3P3261,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,"Cable con conector macho M8 de 4 polos, 100 mm, PVC",,B-25
1028100,WTB4-3P2261,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,Conector macho M8 de 4 polos,,B-25
1028101,WTB4-3N1361,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-25
1028102,WTB4-3N1161,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,NPN,,"Cable de 4 hilos, 2 m, PVC",,B-25
1028105,WTB4-3F1361,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,"Cable de 3 hilos, 2 m, PVC",,B-25
1028122,WTB4-3P3171,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,"Cable con conector macho M8 de 3 polos, 100 mm, PVC",,B-25
1028125,WTB4-3N1371,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-25
1042190,WTB4-3P2271,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,Conector macho M8 de 4 polos,,B-25
1044013,WTB4-3P3464,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,150,PNP,,"Cable con conector macho M12 de 4 polos, 150 mm, PVC",,B-25
1028114,WTV4-3P2241,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,50,PNP,,Conector macho M8 de 4 polos,,B-26
1029582,WTV4-3P3441,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,50,PNP,,"Cable con conector macho M12 de 4 polos, 150 mm, PVC",,B-26
1029885,WTV4-3N1321,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,50,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-26
1029888,WTV4-3P1321,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,50,PNP,,"Cable de 3 hilos, 2 m, PVC",,B-26
1046411,WTV4-3P3122,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,50,PNP,,"Cable con conector macho M8 de 4 polos, 100 mm, PVC",,B-26
1046644,WTV4-3P2271,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,50,PNP,,Conector macho M8 de 4 polos,,B-26
1046898,WTV4-3N1171,W4-3,Fotocelulas (Photoelectric sensors),diffuse,supresión del fondo,50,NPN,,"Cable de 4 hilos, 2 m, PVC",,B-26
1028147,WL4-3P2230,W4-3,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,4500,PNP,,Conector macho M8 de 4 polos,,B-27
1028148,WL4-3N1330,W4-3,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,4500,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-27
1028155,WL4-3F2130,W4-3,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,4500,PNP,,Conector macho M8 de 3 polos,,B-27
1028156,WL4-3E1330,W4-3,Fotocelulas (Photoelectric sensors),retroreflective,lente doble,4500,NPN,,"Cable de 3 hilos, 2 m, PVC",,B-27
1028160,WSE4-3P2230,W4-3,Fotocelulas (Photoelectric sensors),opposed,,4000,PNP,,Conector macho M8 de 4 polos,,B-27
1028163,WSE4-3P2130,W4-3,Fotocelulas (Photoelectric sensors),opposed,,4000,PNP,,Conector macho M8 de 3 polos,,B-27
1028170,WSE4-3F3130,W4-3,Fotocelulas (Photoelectric sensors),opposed,,4000,PNP,,"Cable con conector macho M8 de 3 polos, 100 mm, PVC",,B-27
