section,category,family,product_variants,accessory_rows,n_pages,pages,product_url
B,Fotocelulas (Photoelectric sensors),G10,31,8,5,B-40;B-41;B-42;B-43;B-44,www.mysick.com/es/G10
B,Fotocelulas (Photoelectric sensors),G6,32,2,4,B-16;B-17;B-18;B-19,www.mysick.com/es/G6
B,Fotocelulas (Photoelectric sensors),GR18S,33,2,4,B-61;B-62;B-63;B-64,www.mysick.com/es/GR18S
B,Fotocelulas (Photoelectric sensors),LL3,35,3,2,B-72;B-73,www.mysick.com/es/LL3
B,Fotocelulas (Photoelectric sensors),V180-2,24,2,4,B-65;B-66;B-67;B-68,www.mysick.com/es/V180-2
B,Fotocelulas (Photoelectric sensors),VL180-2,8,0,1,B-67,
B,Fotocelulas (Photoelectric sensors),W11-2,12,3,3,B-49;B-50;B-51,www.mysick.com/es/W11-2
B,Fotocelulas (Photoelectric sensors),W12-3,25,2,4,B-52;B-53;B-54;B-55,www.mysick.com/es/W12-3
B,Fotocelulas (Photoelectric sensors),W280-2,18,1,3,B-56;B-57;B-58,www.mysick.com/es/W280-2
B,Fotocelulas (Photoelectric sensors),W280L-2,10,4,2,B-59;B-60,www.mysick.com/es/W280L-2_Long_Range
B,Fotocelulas (Photoelectric sensors),W2S-2,29,4,4,B-20;B-21;B-22;B-23,www.mysick.com/es/W2S-2
B,Fotocelulas (Photoelectric sensors),W4-3,30,8,4,B-25;B-26;B-27;B-28,
B,Fotocelulas (Photoelectric sensors),W4S-3,28,11,3,B-30;B-31;B-32,
B,Fotocelulas (Photoelectric sensors),W4S-3 Inox,4,0,1,B-29,www.mysick.com/es/W4S-3_Inox
B,Fotocelulas (Photoelectric sensors),W8,40,2,4,B-33;B-34;B-38;B-39,www.mysick.com/es/W8
B,Fotocelulas (Photoelectric sensors),W8 Inox,12,0,1,B-37,www.mysick.com/es/W8_Inox
B,Fotocelulas (Photoelectric sensors),W8 Laser,12,2,2,B-35;B-36,www.mysick.com/es/W8_Laser
B,Fotocelulas (Photoelectric sensors),W9-3,33,5,4,B-45;B-46;B-47;B-48,www.mysick.com/es/W9-3
B,Fotocelulas (Photoelectric sensors),WLL180T,14,2,2,B-70;B-71,www.mysick.com/es/WLL180T
C,Sensores de proximidad (Proximity sensors),(sin familia),0,2,1,C-78,
C,Sensores de proximidad (Proximity sensors),BEF,0,4,1,C-80,
C,Sensores de proximidad (Proximity sensors),CM,18,5,2,C-86;C-87,www.mysick.com/es/CM
C,Sensores de proximidad (Proximity sensors),DOL,0,2,1,C-80,
C,Sensores de proximidad (Proximity sensors),IM Inox,8,0,1,C-79,www.mysick.com/es/IM_Inox
C,Sensores de proximidad (Proximity sensors),IM Standard,10,0,1,C-76,www.mysick.com/es/IM_Standard
C,Sensores de proximidad (Proximity sensors),IM18,2,0,1,C-80,
C,Sensores de proximidad (Proximity sensors),IM30,4,0,1,C-80,
C,Sensores de proximidad (Proximity sensors),IME12,10,0,1,C-77,
C,Sensores de proximidad (Proximity sensors),IME18,10,0,1,C-77,
C,Sensores de proximidad (Proximity sensors),IME30,10,0,1,C-78,
C,Sensores de proximidad (Proximity sensors),IMF,24,0,2,C-81;C-82,www.mysick.com/es/IMF
