order_number,type_code,family,subfamily,row_type,category,section,source_page,pdf_page,occurrences,also_on_pages,product_name,product_url,sensing_range_min_mm,sensing_range_max_mm,supply_voltage_min_v,supply_voltage_max_v,output_current_max_ma,response_time_ms,switching_frequency_hz,operating_temp_min_c,operating_temp_max_c,resolution_value,resolution_unit,switching_output,output_function,connection,scope_of_delivery,sensor_principle,detection_principle,light_type,light_spot,adjustment,enclosure_rating,housing_material,interface,short_description,other_specs_json,low_confidence
1051781,GTE6-P4212,G6,GTE6,product,Fotocelulas (Photoelectric sensors),B,B-16,15,1,,"Fotocélula de detección sobre objeto, luz roja visible",www.mysick.com/es/G6,,300,,,,,,,,,,PNP,conmutación en claro/oscuro,Conector macho M8 de 4 polos,Escuadra de fijación de acero inoxidable (1.4301/304) BEF‑W100-A,fotocélula de detección sobre objeto,energética,luz roja visible,Ø 7 mm (90 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name;output_function;sensor_principle;detection_principle;light_type;light_spot;adjustment
1051782,GTE6-N4212,G6,GTE6,product,Fotocelulas (Photoelectric sensors),B,B-16,15,1,,"Fotocélula de detección sobre objeto, luz roja visible",www.mysick.com/es/G6,,300,,,,,,,,,,NPN,conmutación en claro/oscuro,Conector macho M8 de 4 polos,,fotocélula de detección sobre objeto,energética,luz roja visible,Ø 7 mm (90 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name;output_function;sensor_principle;detection_principle;light_type;light_spot;adjustment
1051783,GTE6-P1212,G6,GTE6,product,Fotocelulas (Photoelectric sensors),B,B-16,15,1,,"Fotocélula de detección sobre objeto, luz roja visible",www.mysick.com/es/G6,,300,,,,,,,,,,PNP,conmutación en claro/oscuro,"Cable de 3 hilos, 2 m, PVC",Escuadra de fijación de acero inoxidable (1.4301/304) BEF‑W100-A,fotocélula de detección sobre objeto,energética,luz roja visible,Ø 7 mm (90 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name;output_function;sensor_principle;detection_principle;light_type;light_spot;adjustment
1051784,GTE6-N1212,G6,GTE6,product,Fotocelulas (Photoelectric sensors),B,B-16,15,1,,"Fotocélula de detección sobre objeto, luz roja visible",www.mysick.com/es/G6,,300,,,,,,,,,,NPN,conmutación en claro/oscuro,"Cable de 3 hilos, 2 m, PVC",,fotocélula de detección sobre objeto,energética,luz roja visible,Ø 7 mm (90 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name;output_function;sensor_principle;detection_principle;light_type;light_spot;adjustment
1053628,GTE6-P7212,G6,GTE6,product,Fotocelulas (Photoelectric sensors),B,B-16,15,1,,"Fotocélula de detección sobre objeto, luz roja visible",www.mysick.com/es/G6,,300,,,,,,,,,,PNP,conmutación en claro/oscuro,"Cable con conector macho M12 de 4 polos, 300 mm, PVC",Escuadra de fijación de acero inoxidable (1.4301/304) BEF‑W100-A,fotocélula de detección sobre objeto,energética,luz roja visible,Ø 7 mm (90 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name;output_function;sensor_principle;detection_principle;light_type;light_spot;adjustment
1052442,GTB6-P4212,G6,GTB6,product,Fotocelulas (Photoelectric sensors),B,B-17,16,1,,"Fotocélula de detección sobre objeto, supresión del fondo, luz roja visible",,5,250,,,,,,,,,,PNP,conmutación en claro/oscuro,Conector macho M8 de 4 polos,Escuadra de fijación de acero inoxidable (1.4301/304) BEF‑W100-A,fotocélula de detección sobre objeto,supresión del fondo,luz roja visible,Ø 6 mm (100 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name
1052443,GTB6-N4212,G6,GTB6,product,Fotocelulas (Photoelectric sensors),B,B-17,16,1,,"Fotocélula de detección sobre objeto, supresión del fondo, luz roja visible",,5,250,,,,,,,,,,NPN,conmutación en claro/oscuro,Conector macho M8 de 4 polos,Escuadra de fijación de acero inoxidable (1.4301/304) BEF‑W100-A,fotocélula de detección sobre objeto,supresión del fondo,luz roja visible,Ø 6 mm (100 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name
1052444,GTB6-P1212,G6,GTB6,product,Fotocelulas (Photoelectric sensors),B,B-17,16,1,,"Fotocélula de detección sobre objeto, supresión del fondo, luz roja visible",,5,250,,,,,,,,,,PNP,conmutación en claro/oscuro,"Cable de 3 hilos, 2 m, PVC",Escuadra de fijación de acero inoxidable (1.4301/304) BEF‑W100-A,fotocélula de detección sobre objeto,supresión del fondo,luz roja visible,Ø 6 mm (100 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name
1052445,GTB6-N1212,G6,GTB6,product,Fotocelulas (Photoelectric sensors),B,B-17,16,1,,"Fotocélula de detección sobre objeto, supresión del fondo, luz roja visible",,5,250,,,,,,,,,,NPN,conmutación en claro/oscuro,"Cable de 3 hilos, 2 m, PVC",Escuadra de fijación de acero inoxidable (1.4301/304) BEF‑W100-A,fotocélula de detección sobre objeto,supresión del fondo,luz roja visible,Ø 6 mm (100 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name
1057705,GTB6-P7211,G6,GTB6,product,Fotocelulas (Photoelectric sensors),B,B-17,16,1,,"Fotocélula de detección sobre objeto, supresión del fondo, luz roja visible",,5,250,,,,,,,,,,PNP,conmutación en claro/oscuro,"Cable con conector macho M12 de 4 polos, 300 mm",,fotocélula de detección sobre objeto,supresión del fondo,luz roja visible,Ø 6 mm (100 mm),"ajustador mecánico, 5 revoluciones",,,,,,product_name
